epoch,accuracy,loss,val_accuracy,val_loss
0,0.722000002861023,0.8228892683982849,0.8762500286102295,0.28506597876548767
1,0.8209999799728394,0.42183250188827515,0.8637499809265137,0.3338755667209625
2,0.871999979019165,0.32378190755844116,0.8912500143051147,0.3073429465293884
3,0.9039999842643738,0.27111759781837463,0.90625,0.2548052668571472
4,0.9100000262260437,0.22816969454288483,0.8887500166893005,0.3116224706172943
5,0.9279999732971191,0.19150112569332123,0.8799999952316284,0.3345201909542084
6,0.9340000152587891,0.16496548056602478,0.8712499737739563,0.38078197836875916
7,0.9430000185966492,0.14789703488349915,0.8949999809265137,0.32623153924942017
8,0.953000009059906,0.13936571776866913,0.9012500047683716,0.3369775712490082
9,0.9629999995231628,0.09295976907014847,0.9024999737739563,0.37652504444122314
